,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,listing_type
8,2799900.0,4.0,4.0,3164.0 ,2951100.0,8486.0,House for sale
12,1695000.0,2.0,4.0,2132.0 ,1714700.0,3200.0,House for sale
15,779000.0,3.0,2.0,1282.0 ,774700.0,3566.0,Condo for sale
23,1299000.0,2.0,4.0,1383.0 ,1407700.0,3599.0,House for sale
31,1050000.0,3.0,4.0,2023.0 ,925800.0,4054.0,Coming soon
32,774999.0,2.0,2.0,1008.0 ,692400.0,2699.0,House for sale
34,724900.0,3.0,3.0,1686.0 ,739600.0,3200.0,House for sale
39,578800.0,2.0,2.0,922.0 ,578805.0,2596.0,Condo for sale
44,1548800.0,2.0,3.0,1540.0 ,1638238.0,3949.0,House for sale
45,1250000.0,3.0,3.0,1855.0 ,1045000.0,3896.0,Coming soon
46,949900.0,3.0,3.0,1444.0 ,941900.0,3197.0,House for sale
48,1200000.0,2.0,3.0,1983.0 ,1343100.0,3984.0,House for sale
49,1499000.0,3.0,4.0,1930.0 ,1494100.0,4093.0,House for sale
55,630000.0,2.0,3.0,1130.0 ,608600.0,2684.0,House for sale
59,818900.0,2.0,3.0,1422.0 ,822491.0,3438.0,House for sale
61,499900.0,3.0,2.0,1219.0 ,432400.0,2497.0,Coming soon
66,649900.0,2.0,3.0,1362.0 ,660200.0,3069.0,Condo for sale
68,1995000.0,4.0,4.0,3625.0 ,2039700.0,7411.0,House for sale
70,1690000.0,2.0,3.0,1588.0 ,1772900.0,4891.0,House for sale
71,395000.0,2.0,2.0,1820.0 ,399100.0,3200.0,Home for sale
73,488000.0,2.0,2.0,955.0 ,502901.0,2400.0,Condo for sale
74,2060000.0,4.0,3.0,2804.0 ,2102100.0,7246.0,House for sale
77,419000.0,1.0,1.0,535.0 ,365500.0,1880.0,Condo for sale
79,799000.0,2.0,2.0,1412.0 ,773300.0,3733.0,Condo for sale
80,1199000.0,4.0,3.0,1800.0 ,1199122.0,3750.0,New construction
86,515900.0,2.0,2.0,866.0 ,532541.0,2281.0,Condo for sale
88,416000.0,1.0,1.0,658.0 ,415223.0,2190.0,Condo for sale
89,514888.0,1.0,1.0,845.0 ,514900.0,2490.0,Condo for sale
91,886000.0,2.0,2.0,1371.0 ,933004.0,3300.0,Condo for sale
93,1369000.0,2.0,4.0,1669.0 ,1512877.0,3919.0,House for sale
94,818000.0,2.0,2.0,986.0 ,847700.0,2648.0,Condo for sale
97,579950.0,1.0,1.0,808.0 ,598408.0,2221.0,Condo for sale
101,5895000.0,4.0,4.0,1784.0 ,5769300.0,9321.0,House for sale
103,3875000.0,2.0,2.0,892.0 ,3829780.0,3499.0,House for sale
107,1200000.0,2.0,3.0,1115.0 ,1018600.0,3940.0,House for sale
112,899000.0,2.0,3.0,1678.0 ,899000.0,3523.0,House for sale
113,859000.0,2.0,3.0,1200.0 ,899700.0,3449.0,House for sale
114,69900.0,1.0,1.0,756.0 ,113400.0,1862.0,Home for sale
115,1072000.0,2.0,3.0,1384.0 ,1009500.0,3247.0,House for sale
117,11265000.0,8.0,6.0,5574.0 ,10676000.0,33714.0,House for sale
119,750000.0,3.0,3.0,1306.0 ,804700.0,3200.0,Townhouse for sale
121,699000.0,2.0,2.0,1311.0 ,703500.0,2821.0,House for sale
130,975000.0,2.0,4.0,1895.0 ,1005500.0,4169.0,House for sale
134,745000.0,2.0,5.0,1602.0 ,778700.0,3399.0,House for sale
142,919900.0,2.0,3.0,1325.0 ,917900.0,3567.0,House for sale
150,1450000.0,2.0,3.0,1211.0 ,1568311.0,3699.0,House for sale
152,837900.0,3.0,4.0,2357.0 ,842948.0,3696.0,House for sale
157,3575000.0,6.0,5.0,3597.0 ,3575000.0,11070.0,House for sale
164,1200000.0,2.0,4.0,1408.0 ,1248007.0,3949.0,House for sale
169,879900.0,3.0,3.0,1512.0 ,948200.0,3696.0,House for sale
171,1174950.0,3.0,3.0,1451.0 ,1257148.0,3407.0,Condo for sale
173,549000.0,2.0,3.0,1656.0 ,560000.0,3058.0,Home for sale
176,1098000.0,2.0,3.0,1080.0 ,1215100.0,3262.0,House for sale
177,779000.0,3.0,2.0,1042.0 ,816769.0,2812.0,Townhouse for sale
178,399500.0,1.0,2.0,882.0 ,441800.0,2298.0,Condo for sale
185,219000.0,1.0,1.0,378.0 ,231600.0,1397.0,House for sale
187,1275000.0,2.0,4.0,2124.0 ,1324700.0,3863.0,House for sale
189,267400.0,2.0,3.0,1546.0 ,263400.0,3999.0,Home for sale
191,1000000.0,2.0,3.0,1210.0 ,1155300.0,3714.0,House for sale
196,2895000.0,3.0,4.0,2903.0 ,3341200.0,6528.0,House for sale
199,824900.0,2.0,3.0,1435.0 ,737000.0,3522.0,Multi-family home for sale
200,619000.0,2.0,3.0,1476.0 ,623300.0,3310.0,Condo for sale
203,875000.0,3.0,2.0,1130.0 ,927098.0,3084.0,Townhouse for sale
205,506900.0,2.0,2.0,1035.0 ,512500.0,2300.0,Condo for sale
209,1399000.0,2.0,4.0,1852.0 ,1218900.0,4940.0,Coming soon
212,1399000.0,4.0,4.0,4283.0 ,1376100.0,9146.0,House for sale
216,625000.0,1.0,3.0,1080.0 ,622300.0,2999.0,House for sale
218,374900.0,1.0,0.0,744.0 ,356700.0,2100.0,Condo for sale
220,780000.0,3.0,2.0,1353.0 ,824113.0,3195.0,Condo for sale
240,1230000.0,3.0,3.0,1545.0 ,1306005.0,3499.0,Townhouse for sale
242,269900.0,1.0,0.0,480.0 ,237400.0,2699.0,Condo for sale
248,775000.0,3.0,5.0,2051.0 ,795200.0,3499.0,House for sale
249,979000.0,2.0,3.0,1482.0 ,1033100.0,3869.0,House for sale
252,99500.0,1.0,1.0,729.0 ,101400.0,2005.0,Home for sale
255,249470.0,2.0,3.0,1440.0 ,249500.0,3448.0,Home for sale
263,1200000.0,2.0,3.0,1006.0 ,1250600.0,2803.0,House for sale
268,749000.0,2.0,3.0,940.0 ,780659.0,3266.0,House for sale
271,995000.0,2.0,2.0,1215.0 ,945600.0,3364.0,Multi-family home for sale
272,799000.0,4.0,5.0,2800.0 ,826800.0,4052.0,House for sale
279,599000.0,2.0,3.0,1080.0 ,602300.0,2864.0,House for sale
285,254900.0,2.0,2.0,1632.0 ,200700.0,4200.0,Home for sale
286,599000.0,2.0,3.0,1038.0 ,612700.0,2799.0,House for sale
287,769000.0,3.0,4.0,1991.0 ,745600.0,3497.0,House for sale
288,899950.0,2.0,3.0,1130.0 ,950508.0,3499.0,House for sale
299,745000.0,2.0,3.0,1336.0 ,778800.0,3062.0,House for sale
315,414900.0,1.0,1.0,671.0 ,421200.0,2363.0,Condo for sale
323,1788000.0,2.0,4.0,1898.0 ,1954623.0,4690.0,House for sale
331,530000.0,2.0,2.0,918.0 ,549274.0,2400.0,Condo for sale
332,678000.0,1.0,2.0,907.0 ,706087.0,2499.0,Condo for sale
336,1164900.0,3.0,4.0,2133.0 ,1213100.0,3814.0,House for sale
344,525000.0,2.0,2.0,1960.0 ,525004.0,3128.0,Home for sale
345,1044900.0,3.0,4.0,1500.0 ,1094657.0,3565.0,House for sale
351,3699000.0,5.0,5.0,4669.0 ,3875708.0,6813.0,House for sale
357,489000.0,2.0,2.0,1440.0 ,489000.0,3140.0,Home for sale
361,875000.0,2.0,4.0,1498.0 ,920900.0,3897.0,House for sale
374,1475000.0,2.0,4.0,1870.0 ,1580200.0,4209.0,House for sale
379,1198950.0,2.0,4.0,1542.0 ,1256849.0,3800.0,House for sale
385,1189999.0,3.0,3.0,1352.0 ,1268046.0,3384.0,House for sale
387,679900.0,2.0,4.0,1184.0 ,653600.0,2849.0,House for sale
392,768000.0,3.0,3.0,1598.0 ,790900.0,3294.0,House for sale
393,1399999.0,3.0,4.0,2620.0 ,1258000.0,4500.0,Coming soon
395,1749000.0,3.0,4.0,2477.0 ,1782300.0,3579.0,Coming soon
399,1200000.0,4.0,4.0,2800.0 ,1197300.0,4713.0,House for sale
415,4288000.0,5.0,4.0,5425.0 ,4492190.0,7012.0,House for sale
416,2990000.0,5.0,5.0,3007.0 ,2951100.0,9911.0,House for sale
417,1395000.0,1.0,2.0,984.0 ,1395000.0,3695.0,House for sale
418,509000.0,1.0,0.0,519.0 ,513300.0,2777.0,Condo for sale
425,1450000.0,5.0,7.0,2718.0 ,1653100.0,5814.0,House for sale
429,2299999.0,4.0,5.0,3208.0 ,2300100.0,7327.0,House for sale
433,899900.0,3.0,3.0,1718.0 ,916100.0,3928.0,Condo for sale
435,649000.0,2.0,3.0,1331.0 ,660999.0,2928.0,House for sale
440,9900000.0,6.0,4.0,5004.0 ,9680000.0,31746.0,House for sale
443,499000.0,2.0,3.0,1040.0 ,524100.0,2796.0,Condo for sale
462,949000.0,3.0,3.0,1338.0 ,905300.0,4067.0,Condo for sale
464,675000.0,2.0,3.0,1522.0 ,691000.0,3200.0,House for sale
467,689000.0,3.0,4.0,1700.0 ,701900.0,3499.0,House for sale
479,919000.0,2.0,3.0,1614.0 ,920400.0,3549.0,House for sale
495,1150000.0,2.0,3.0,2073.0 ,1187987.0,3977.0,Condo for sale
497,238888.0,2.0,2.0,1120.0 ,239000.0,2749.0,Home for sale
498,4199900.0,8.0,6.0,7500.0 ,4145000.0,16704.0,New construction
500,959000.0,3.0,4.0,3020.0 ,987047.0,4187.0,House for sale
501,1950000.0,3.0,4.0,2700.0 ,2015300.0,7154.0,House for sale
504,570000.0,3.0,3.0,1574.0 ,584400.0,3013.0,House for sale
505,1398898.0,1.0,2.0,1208.0 ,1490104.0,3279.0,House for sale
506,1595000.0,3.0,3.0,1672.0 ,1663357.0,4250.0,House for sale
508,928200.0,2.0,4.0,1645.0 ,955469.0,3863.0,House for sale
516,550000.0,2.0,3.0,2026.0 ,550300.0,3229.0,Home for sale
518,279900.0,1.0,0.0,311.0 ,281000.0,3428.0,House for sale
527,1150000.0,3.0,3.0,1512.0 ,1204003.0,3669.0,Townhouse for sale
535,515000.0,1.0,1.0,665.0 ,493700.0,2027.0,Condo for sale
540,1195000.0,2.0,3.0,1964.0 ,1256810.0,3668.0,House for sale
545,1079000.0,4.0,5.0,3376.0 ,1090000.0,4970.0,House for sale
554,844999.0,3.0,5.0,2175.0 ,869500.0,3668.0,House for sale
555,639000.0,2.0,3.0,1662.0 ,589500.0,3200.0,House for sale
