price,bathrooms,bedrooms,listing_type,area_sqft,zip_code
849000.0,2.0,4.0,4,1697.0,92119
775000.0,3.0,3.0,8,1540.0,92131
430000.0,1.0,1.0,0,704.0,92122
1198888.0,3.0,4.0,4,1347.0,95123
675000.0,3.0,2.0,4,1032.0,92103
285000.0,2.0,3.0,3,1469.0,95134
579000.0,2.0,3.0,1,2056.0,92010
1100000.0,2.0,2.0,4,1101.0,92110
750000.0,3.0,6.0,6,2200.0,92105
249000.0,2.0,2.0,3,1760.0,95125
1225000.0,2.0,2.0,1,1353.0,92109
1145000.0,2.0,3.0,4,1276.0,92115
899000.0,2.0,3.0,4,1678.0,92119
795000.0,1.0,2.0,4,1037.0,92104
1679000.0,3.0,4.0,4,2150.0,95131
739900.0,2.0,3.0,4,1644.0,92027
419999.0,1.0,1.0,1,633.0,95116
899999.0,2.0,3.0,0,1168.0,92116
564900.0,2.0,2.0,1,1106.0,92101
711900.0,2.0,3.0,8,1517.0,92127
519000.0,2.0,2.0,1,831.0,92126
930000.0,3.0,3.0,8,1470.0,92108
699000.0,3.0,3.0,8,1129.0,95138
416000.0,1.0,1.0,1,650.0,92024
699000.0,2.0,2.0,4,1311.0,92120
649000.0,2.0,4.0,4,1736.0,92114
930000.0,2.0,3.0,4,1206.0,95111
1450000.0,5.0,7.0,4,2718.0,95128
974000.0,3.0,3.0,8,1758.0,95128
375000.0,1.0,2.0,1,771.0,92111
599000.0,1.0,1.0,4,675.0,92116
448000.0,1.0,1.0,1,724.0,95135
1519000.0,3.0,2.0,8,1561.0,92024
1100000.0,2.0,3.0,4,1991.0,92128
399999.0,2.0,2.0,8,1120.0,92026
1200000.0,3.0,4.0,0,2007.0,92010
1488000.0,3.0,6.0,0,3036.0,92131
999900.0,3.0,3.0,1,1558.0,92106
2287000.0,2.0,4.0,4,1836.0,95130
979000.0,2.0,3.0,4,1482.0,92104
1088000.0,3.0,3.0,1,2078.0,95113
659000.0,2.0,2.0,1,900.0,92024
489000.0,2.0,3.0,6,1194.0,92113
1350000.0,3.0,4.0,4,2124.0,95136
944900.0,1.0,4.0,4,1178.0,92103
1050000.0,3.0,4.0,0,2023.0,92126
2798000.0,5.0,6.0,4,3820.0,92103
365000.0,2.0,3.0,3,1440.0,95122
500000.0,2.0,3.0,4,1568.0,92139
4995000.0,3.0,4.0,4,3000.0,92024
3575000.0,6.0,5.0,4,3597.0,92037
649000.0,2.0,2.0,1,910.0,92107
299000.0,2.0,3.0,3,1568.0,95131
1025000.0,2.0,4.0,4,1988.0,92127
769000.0,1.0,2.0,4,672.0,92104
799000.0,2.0,2.0,1,1460.0,95135
975000.0,2.0,4.0,4,1895.0,92111
968000.0,3.0,3.0,0,1736.0,92128
449000.0,1.0,1.0,1,544.0,95117
179000.0,2.0,4.0,3,1344.0,95131
725000.0,2.0,2.0,1,1027.0,92011
1450000.0,4.0,4.0,4,2889.0,92025
3088000.0,4.0,5.0,4,3118.0,95120
768000.0,3.0,3.0,4,1598.0,92128
1750000.0,3.0,5.0,4,3084.0,92116
615000.0,3.0,2.0,1,1068.0,92124
7295000.0,8.0,6.0,7,6644.0,92014
579000.0,2.0,3.0,4,1050.0,92114
879900.0,3.0,3.0,4,1512.0,92123
779000.0,3.0,2.0,8,1042.0,95133
879000.0,2.0,4.0,4,1113.0,95111
769000.0,2.0,2.0,1,850.0,95134
249000.0,2.0,2.0,3,1440.0,95123
580000.0,1.0,0.0,1,683.0,95113
1299900.0,2.0,3.0,4,1556.0,92117
3250000.0,4.0,5.0,4,3000.0,92106
